,tweet_id,user_handle,tweet_text,candidate,party,retweets,likes,sentiment,date,time,tweet_length
0,1,@user123,Excited to see Kamala Harris leading the Democratic charge!,Kamala Harris,Democratic Party,120,450,positive,2024-11-03,08:45:00,59
1,2,@politicsFan,Donald Trump's policies are the best for our economy.,Donald Trump,Republican Party,85,300,positive,2024-11-03,09:15:23,53
2,3,@greenAdvocate,Jill Stein's environmental plans are exactly what we need.,Jill Stein,Green Party,60,200,positive,2024-11-03,10:05:45,58
3,4,@indieVoice,Robert Kennedy offers a fresh perspective outside the two-party system.,Robert Kennedy,Independent,40,150,neutral,2024-11-03,11:20:10,71
4,5,@libertyLover,Chase Oliver's libertarian stance promotes true freedom.,Chase Oliver,Libertarian Party,30,120,positive,2024-11-03,12:35:55,56
5,6,@user456,Kamala Harris has been a strong advocate for healthcare reform.,Kamala Harris,Democratic Party,95,380,positive,2024-11-04,08:50:30,63
6,7,@econGuru,Trump's tax policies will benefit small businesses.,Donald Trump,Republican Party,110,500,positive,2024-11-04,09:25:10,51
7,8,@ecoWarrior,Jill Stein's green initiatives could save our planet.,Jill Stein,Green Party,70,250,positive,2024-11-04,10:15:20,53
8,9,@neutralNow,Robert Kennedy is running as an independent; interesting choice.,Robert Kennedy,Independent,25,100,neutral,2024-11-04,11:45:00,64
9,10,@freedomFirst,Chase Oliver promotes minimal government intervention. Love it!,Chase Oliver,Libertarian Party,50,180,positive,2024-11-04,12:55:35,63
10,11,@user789,Kamala Harris is tackling education issues head-on.,Kamala Harris,Democratic Party,80,320,positive,2024-11-05,08:30:15,51
11,12,@taxTalk,Trump's latest policy could lower taxes for the middle class.,Donald Trump,Republican Party,95,400,positive,2024-11-05,09:10:50,61
12,13,@sustainability,Jill Stein's renewable energy plans are ambitious.,Jill Stein,Green Party,65,220,positive,2024-11-05,10:25:40,50
13,14,@indepThought,Robert Kennedy might disrupt the traditional party dynamics.,Robert Kennedy,Independent,35,130,neutral,2024-11-05,11:35:25,60
14,15,@libertySeek,Chase Oliver's views on personal freedom are refreshing.,Chase Oliver,Libertarian Party,45,160,positive,2024-11-05,12:45:50,56
15,16,@user321,Kamala Harris is making strides in criminal justice reform.,Kamala Harris,Democratic Party,90,350,positive,2024-11-06,08:55:05,59
16,17,@businessInsider,Trump's deregulation efforts are boosting the stock market.,Donald Trump,Republican Party,100,450,positive,2024-11-06,09:20:30,59
17,18,@greenFuture,Jill Stein advocates for sustainable agriculture.,Jill Stein,Green Party,55,190,positive,2024-11-06,10:40:10,49
18,19,@watchingNow,Robert Kennedy's independent run adds more choices for voters.,Robert Kennedy,Independent,30,110,neutral,2024-11-06,11:50:45,62
19,20,@freeMarket,Chase Oliver supports free-market solutions for healthcare.,Chase Oliver,Libertarian Party,40,140,positive,2024-11-06,12:30:20,59
20,21,@user654,Kamala Harris is a strong leader for progressive change.,Kamala Harris,Democratic Party,85,330,positive,2024-11-07,08:40:00,56
21,22,@policyMaker,Trump's stance on immigration is reshaping national policy.,Donald Trump,Republican Party,105,470,negative,2024-11-07,09:30:25,59
22,23,@ecoSupport,Jill Stein's proposals for green jobs are commendable.,Jill Stein,Green Party,60,210,positive,2024-11-07,10:10:35,54
23,24,@neutralThoughts,Robert Kennedy's platform as an independent is unclear.,Robert Kennedy,Independent,20,90,neutral,2024-11-07,11:25:15,55
24,25,@freedomVoice,Chase Oliver emphasizes individual liberties in his campaign.,Chase Oliver,Libertarian Party,35,130,positive,2024-11-07,12:15:40,61
25,26,@user987,Kamala Harris continues to push for affordable housing.,Kamala Harris,Democratic Party,75,290,positive,2024-11-08,08:35:20,55
26,27,@marketWatch,Trump's economic policies are controversial but effective.,Donald Trump,Republican Party,115,480,neutral,2024-11-08,09:05:55,58
27,28,@greenInitiative,Jill Stein is focusing on climate change legislation.,Jill Stein,Green Party,70,230,positive,2024-11-08,10:20:50,53
28,29,@indieSupport,Robert Kennedy offers an alternative to traditional parties.,Robert Kennedy,Independent,28,105,neutral,2024-11-08,11:40:30,60
29,30,@libertyRights,Chase Oliver advocates for gun rights and personal freedom.,Chase Oliver,Libertarian Party,50,170,positive,2024-11-08,12:50:10,59
30,31,@user159,Kamala Harris is addressing income inequality in her speeches.,Kamala Harris,Democratic Party,80,310,positive,2024-11-09,08:25:45,62
31,32,@taxPolicy,Trump's tax cuts are benefiting the wealthy disproportionately.,Donald Trump,Republican Party,90,420,negative,2024-11-09,09:40:20,63
32,33,@sustainableLiving,Jill Stein promotes electric vehicles to reduce emissions.,Jill Stein,Green Party,65,205,positive,2024-11-09,10:30:35,58
33,34,@independantView,Robert Kennedy's policies are a mix of left and right ideologies.,Robert Kennedy,Independent,22,95,neutral,2024-11-09,11:55:00,65
